carname,make,model,year,kilometersdriven,fueltype,transmission,location,city,price,price_lakhs,listingurl,imageurl,source
2014 Toyota Corolla Altis,toyota,corolla altis,2014,132247.0,Petrol,manual,ahmedabad,ahmedabad,3.74 Lakh,3.74,https://www.cars24.com/buy-used-toyota-corolla-altis-2014-cars-ahmedabad-11469167720/,,Cars24
2020 Tata Tiago,tata,tiago,2020,60980.0,Petrol,manual,ahmedabad,ahmedabad,3.36 Lakh,3.36,https://www.cars24.com/buy-used-tata-tiago-2020-cars-ahmedabad-11412669741/,,Cars24
2019 Ford FREESTYLE,ford,freestyle,2019,47610.0,Diesel,manual,ahmedabad,ahmedabad,4.15 Lakh,4.15,https://www.cars24.com/buy-used-ford-freestyle-2019-cars-ahmedabad-11444766742/,,Cars24
2014 Hyundai Eon,hyundai,eon,2014,113407.0,Cng,manual,ahmedabad,ahmedabad,2.27 Lakh,2.27,https://www.cars24.com/buy-used-hyundai-eon-2014-cars-ahmedabad-11467343702/,,Cars24
2019 Maruti Eeco,maruti,eeco,2019,98076.0,Cng,manual,ahmedabad,ahmedabad,3.82 Lakh,3.82,https://www.cars24.com/buy-used-maruti-eeco-2019-cars-ahmedabad-11444462729/,,Cars24
2018 Renault Kwid,renault,kwid,2018,53016.0,Petrol,manual,ahmedabad,ahmedabad,1.89 Lakh,1.89,https://www.cars24.com/buy-used-renault-kwid-2018-cars-ahmedabad-11444960723/,,Cars24
2019 Maruti Dzire,maruti,dzire,2019,71902.0,Petrol,manual,ahmedabad,ahmedabad,4.25 Lakh,4.25,https://www.cars24.com/buy-used-maruti-dzire-2019-cars-ahmedabad-11418568742/,,Cars24
2021 Hyundai NEW SANTRO,hyundai,new santro,2021,98958.0,Petrol,manual,ahmedabad,ahmedabad,3.30 Lakh,3.3,https://www.cars24.com/buy-used-hyundai-new-santro-2021-cars-ahmedabad-11430367709/,,Cars24
2022 Tata ALTROZ,tata,altroz,2022,52809.0,Petrol,manual,ahmedabad,ahmedabad,4.63 Lakh,4.63,https://www.cars24.com/buy-used-tata-altroz-2022-cars-ahmedabad-11488966705/,,Cars24
2015 Maruti Swift,maruti,swift,2015,78572.0,Petrol,manual,ahmedabad,ahmedabad,2.65 Lakh,2.65,https://www.cars24.com/buy-used-maruti-swift-2015-cars-ahmedabad-11441964740/,,Cars24
2018 Maruti Alto 800,maruti,alto 800,2018,46506.0,Petrol,manual,ahmedabad,ahmedabad,1.97 Lakh,1.97,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-ahmedabad-11415265724/,,Cars24
2023 Hyundai NEW I20,hyundai,new i20,2023,38249.0,Petrol,manual,ahmedabad,ahmedabad,5.77 Lakh,5.77,https://www.cars24.com/buy-used-hyundai-new-i20-2023-cars-ahmedabad-11461167734/,,Cars24
2019 Hyundai Verna,hyundai,verna,2019,47209.0,Petrol,manual,ahmedabad,ahmedabad,6.72 Lakh,6.72,https://www.cars24.com/buy-used-hyundai-verna-2019-cars-ahmedabad-11474067747/,,Cars24
2014 Maruti Swift Dzire,maruti,swift dzire,2014,104099.0,Petrol,manual,ahmedabad,ahmedabad,2.79 Lakh,2.79,https://www.cars24.com/buy-used-maruti-swift-dzire-2014-cars-ahmedabad-11499863775/,,Cars24
2019 Mahindra XUV500,mahindra,xuv500,2019,104375.0,Diesel,manual,ahmedabad,ahmedabad,8.28 Lakh,8.28,https://www.cars24.com/buy-used-mahindra-xuv500-2019-cars-ahmedabad-25748266745/,,Cars24
2013 Hyundai i10,hyundai,i10,2013,104127.0,Petrol,manual,ahmedabad,ahmedabad,1.86 Lakh,1.86,https://www.cars24.com/buy-used-hyundai-i10-2013-cars-ahmedabad-14263069734/,,Cars24
2021 Datsun Redi Go,datsun,redi go,2021,39029.0,Petrol,manual,ahmedabad,ahmedabad,1.75 Lakh,1.75,https://www.cars24.com/buy-used-datsun-redi-go-2021-cars-ahmedabad-2138557464/,,Cars24
2016 Hyundai Grand i10,hyundai,grand i10,2016,43883.0,Petrol,auto,ahmedabad,ahmedabad,4.30 Lakh,4.3,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-ahmedabad-11433668740/,,Cars24
2024 Tata Curvv,tata,curvv,2024,3578.0,Petrol,auto,ahmedabad,ahmedabad,13.90 Lakh,13.9,https://www.cars24.com/buy-used-tata-curvv-2024-cars-ahmedabad-11474069731/,,Cars24
2019 Hyundai NEW SANTRO,hyundai,new santro,2019,48893.0,Petrol,manual,ahmedabad,ahmedabad,3.03 Lakh,3.03,https://www.cars24.com/buy-used-hyundai-new-santro-2019-cars-ahmedabad-11432869745/,,Cars24
2023 Hyundai NEW I20 N LINE,hyundai,new i20 n line,2023,27096.0,Petrol,auto,ahmedabad,ahmedabad,6.50 Lakh,6.5,https://www.cars24.com/buy-used-hyundai-new-i20-n-line-2023-cars-ahmedabad-15053865735/,,Cars24
2017 Maruti Vitara Brezza,maruti,vitara brezza,2017,143449.0,Diesel,manual,ahmedabad,ahmedabad,4.80 Lakh,4.8,https://www.cars24.com/buy-used-maruti-vitara-brezza-2017-cars-ahmedabad-11445160738/,,Cars24
2015 Maruti Alto K10,maruti,alto k10,2015,78574.0,Cng,manual,ahmedabad,ahmedabad,1.99 Lakh,1.99,https://www.cars24.com/buy-used-maruti-alto-k10-2015-cars-ahmedabad-11443766738/,,Cars24
2013 Maruti Wagon R 1.0,maruti,wagon r 1.0,2013,108358.0,Cng,manual,ahmedabad,ahmedabad,1.57 Lakh,1.57,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2013-cars-ahmedabad-11457164740/,,Cars24
2021 Renault Kiger,renault,kiger,2021,33171.0,Petrol,auto,ahmedabad,ahmedabad,4.73 Lakh,4.73,https://www.cars24.com/buy-used-renault-kiger-2021-cars-ahmedabad-11418760774/,,Cars24
2016 Maruti Alto 800,maruti,alto 800,2016,70174.0,Petrol,manual,ahmedabad,ahmedabad,1.76 Lakh,1.76,https://www.cars24.com/buy-used-maruti-alto-800-2016-cars-ahmedabad-11485061720/,,Cars24
2020 KIA SELTOS,kia,seltos,2020,75184.0,Petrol,manual,ahmedabad,ahmedabad,7.06 Lakh,7.06,https://www.cars24.com/buy-used-kia-seltos-2020-cars-ahmedabad-36648167729/,,Cars24
2017 Maruti Baleno,maruti,baleno,2017,57446.0,Petrol,auto,ahmedabad,ahmedabad,3.77 Lakh,3.77,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-ahmedabad-11428062721/,,Cars24
2023 Renault TRIBER,renault,triber,2023,57600.0,Petrol,manual,ahmedabad,ahmedabad,4.11 Lakh,4.11,https://www.cars24.com/buy-used-renault-triber-2023-cars-ahmedabad-24579169724/,,Cars24
2020 KIA SONET,kia,sonet,2020,61598.0,Petrol,manual,ahmedabad,ahmedabad,5.60 Lakh,5.6,https://www.cars24.com/buy-used-kia-sonet-2020-cars-ahmedabad-10308368713/,,Cars24
2022 Maruti Alto,maruti,alto,2022,56187.0,Petrol,manual,ahmedabad,ahmedabad,2.75 Lakh,2.75,https://www.cars24.com/buy-used-maruti-alto-2022-cars-ahmedabad-11414166727/,,Cars24
2022 Tata PUNCH,tata,punch,2022,133331.0,Cng,manual,ahmedabad,ahmedabad,4.52 Lakh,4.52,https://www.cars24.com/buy-used-tata-punch-2022-cars-ahmedabad-11427167753/,,Cars24
2016 Ford Figo Aspire,ford,figo aspire,2016,59046.0,Petrol,manual,ahmedabad,ahmedabad,2.60 Lakh,2.6,https://www.cars24.com/buy-used-ford-figo-aspire-2016-cars-ahmedabad-11467561706/,,Cars24
2019 Hyundai Elite i20,hyundai,elite i20,2019,137015.0,Petrol,auto,ahmedabad,ahmedabad,4.04 Lakh,4.04,https://www.cars24.com/buy-used-hyundai-elite-i20-2019-cars-ahmedabad-11433307729/,,Cars24
2019 Maruti Dzire,maruti,dzire,2019,89000.0,Petrol,auto,ahmedabad,ahmedabad,4.08 Lakh,4.08,https://www.cars24.com/buy-used-maruti-dzire-2019-cars-ahmedabad-38635861730/,,Cars24
