name,price,emi,kilometer,fuel,transmission,registration,location,link
"2014 Maruti Celerio
3.06 Lakh
₹3.10 Lakh",3.06 Lakh,"EMI ₹8,463/m*",103K km,Petrol,Automatic,MH12,Bavdhan,https://www.spinny.com/buy-used-cars/pune/maruti-suzuki/celerio/vxi-amt-bavdhan-khurd-2014/28323612/
"2021 Mercedes GLC
41.40 Lakh
₹41.92 Lakh",41.40 Lakh,"EMI ₹72,107/m*",22.5K km,Petrol,Automatic,MH12,Hinjewadi,https://www.spinny.com/buy-used-cars/pune/mercedes-benz/glc/200-progressive-hinjawadi-2021/28643543/
"2018 Hyundai Creta
7.89 Lakh
₹7.99 Lakh",7.89 Lakh,"EMI ₹13,844/m*",51.5K km,Petrol,Manual,MH12,Bavdhan,https://www.spinny.com/buy-used-cars/pune/hyundai/creta/sx-16-o-petrol-bavdhan-khurd-2018/28799582/
"2022 Kia Carens
13.81 Lakh
₹14 Lakh",13.81 Lakh,"EMI ₹24,215/m*",22.5K km,Petrol,Automatic,MH15,Hinjewadi,https://www.spinny.com/buy-used-cars/pune/kia/carens/luxury-plus-14-petrol-dct-7-str-hinjawadi-2022/28302886/
"2018 Volkswagen Polo
4.74 Lakh
₹4.82 Lakh",4.74 Lakh,"EMI ₹7,806/m*",41.5K km,Petrol,Manual,MH12,Wagholi,https://www.spinny.com/buy-used-cars/pune/volkswagen/polo/highline-plus-10-p-16-alloy-wagholi-2018/27781176/
"2019 Hyundai Santro
3.79 Lakh
₹3.87 Lakh",3.79 Lakh,"EMI ₹6,726/m*",43K km,Petrol,Manual,MH15,"Seasons Mall, Magarpatta",https://www.spinny.com/buy-used-cars/pune/hyundai/santro/sportz-2019/28781845/
"2016 Maruti Baleno
4.90 Lakh
₹4.97 Lakh",4.90 Lakh,"EMI ₹9,119/m*",32K km,Petrol,Manual,MH12,"Seasons Mall, Magarpatta",https://www.spinny.com/buy-used-cars/pune/maruti-suzuki/baleno/zeta-12-2016/29010556/
"2013 Hyundai Eon
1.77 Lakh
₹1.83 Lakh",1.77 Lakh,"EMI ₹6,667/m*",47K km,Petrol,Manual,MH12,Hinjewadi,https://www.spinny.com/buy-used-cars/pune/hyundai/eon/era-20112012-hinjawadi-2013/29022876/
"2018 Ford EcoSport
6.56 Lakh
₹6.62 Lakh",6.56 Lakh,"EMI ₹11,341/m*",96.5K km,Diesel,Manual,MH12,Wagholi,https://www.spinny.com/buy-used-cars/pune/ford/ecosport/titanium-15l-tdci-wagholi-2018/28598689/
"2022 Maruti Celerio
5.07 Lakh
₹5.14 Lakh",5.07 Lakh,"EMI ₹8,872/m*",41K km,Petrol,Automatic,MH12,Hinjewadi,https://www.spinny.com/buy-used-cars/pune/maruti-suzuki/celerio/zxi-plus-amt-hinjawadi-2022/28754451/
"2014 Hyundai Xcent
3.19 Lakh
₹3.23 Lakh",3.19 Lakh,"EMI ₹8,364/m*",62K km,Petrol,Manual,MH12,"Seasons Mall, Magarpatta",https://www.spinny.com/buy-used-cars/pune/hyundai/xcent/s-12-o-hadapsar-2014/28748682/
"2013 Maruti Wagon R
2.52 Lakh
₹2.56 Lakh",2.52 Lakh,"EMI ₹10,201/m*",40K km,Petrol,Manual,MH14,"Seasons Mall, Magarpatta",https://www.spinny.com/buy-used-cars/pune/maruti-suzuki/wagon-r/lxi-hadapsar-2013/28924956/
"2015 Maruti Celerio
3.05 Lakh
₹3.12 Lakh",3.05 Lakh,"EMI ₹8,598/m*",110.5K km,Petrol,Automatic,MH12,Bavdhan,https://www.spinny.com/buy-used-cars/pune/maruti-suzuki/celerio/vxi-amt-bavdhan-khurd-2015/28776285/
"2017 Audi Q3
15.47 Lakh
₹15.75 Lakh",15.47 Lakh,"EMI ₹27,087/m*",39K km,Petrol,Automatic,MH02,Hinjewadi,https://www.spinny.com/buy-used-cars/pune/audi/q3/30-tfsi-premium-hinjawadi-2017/27594296/
"2013 Hyundai i10
2.40 Lakh
₹2.45 Lakh",2.40 Lakh,"EMI ₹9,470/m*",46.5K km,Petrol,Manual,MH31,"Seasons Mall, Magarpatta",https://www.spinny.com/buy-used-cars/pune/hyundai/i10/sportz-11-irde2-2013/27994695/
"2014 Maruti Swift
3.43 Lakh
₹3.46 Lakh",3.43 Lakh,"EMI ₹9,434/m*",52K km,Petrol,Manual,MH14,Wagholi,https://www.spinny.com/used-cars-in-pune/s/
"2015 Hyundai i10
2.77 Lakh
₹2.81 Lakh",2.77 Lakh,"EMI ₹6,116/m*",50.5K km,Petrol,Manual,MH12,"Seasons Mall, Magarpatta",https://www.spinny.com/buy-used-cars/pune/hyundai/i10/sportz-11-irde2-hadapsar-2015/28694913/
"2024 Hyundai Venue
9.08 Lakh
₹9.16 Lakh",9.08 Lakh,"EMI ₹15,667/m*",43.5K km,Petrol,Manual,MH15,Hinjewadi,https://www.spinny.com/buy-used-cars/pune/hyundai/venue/sx-12-mt-knight-edition-hinjawadi-2024/28492051/
"2018 Jaguar XF
18.93 Lakh
₹19.48 Lakh",18.93 Lakh,"EMI ₹33,494/m*",63K km,Diesel,Automatic,MH12,Hinjewadi,https://www.spinny.com/buy-used-cars/pune/jaguar/xf/20l-diesel-prestige-hinjawadi-2018/24171348/
"2024 Honda City
13.68 Lakh
₹13.87 Lakh",13.68 Lakh,"EMI ₹23,926/m*",34.5K km,Petrol,Automatic,MH15,Hinjewadi,https://www.spinny.com/buy-used-cars/pune/honda/city/zx-petrol-cvt-hinjawadi-2024/28627322/
"2022 Honda City
11.11 Lakh
₹11.25 Lakh",11.11 Lakh,"EMI ₹19,413/m*",58K km,Petrol,Automatic,MH12,Bavdhan,https://www.spinny.com/buy-used-cars/pune/honda/city/zx-cvt-petrol-bavdhan-khurd-2022/28601570/
"2013 Maruti Alto 800
2.11 Lakh
₹2.16 Lakh",2.11 Lakh,"EMI ₹8,650/m*",27K km,Petrol,Manual,MH12,"Seasons Mall, Magarpatta",https://www.spinny.com/buy-used-cars/pune/maruti-suzuki/alto-800/lxi-hadapsar-2013/28537937/
"2019 Hyundai Creta
7.26 Lakh",7.26 Lakh,"EMI ₹12,601/m*",111.5K km,Petrol,Manual,MH14,"Seasons Mall, Magarpatta",https://www.spinny.com/buy-used-cars/pune/hyundai/creta/sx-16-petrol-hadapsar-2019/28765085/
