name,price,emi,kilometer,fuel,transmission,registration,location,link
"2013 Volkswagen Vento
3.91 Lakh
₹3.94 Lakh",3.91 Lakh,"EMI ₹14,547/m*",108K km,Diesel,Manual,AP09,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/volkswagen/vento/highline-diesel-uppal-2013/27989370/
"2015 Maruti Alto 800
1.92 Lakh
₹1.96 Lakh",1.92 Lakh,"EMI ₹4,519/m*",112.5K km,Petrol,Manual,TS15,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/alto-800/lxi-uppal-2015/28041564/
"2017 Maruti Celerio
3.96 Lakh
₹3.99 Lakh",3.96 Lakh,"EMI ₹6,862/m*",63K km,Petrol,Automatic,AP07,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/celerio/zxi-amt-uppal-2017/27791374/
"2022 Hyundai Verna
11.39 Lakh
₹11.54 Lakh",11.39 Lakh,"EMI ₹19,992/m*",50K km,Petrol,Automatic,TS09,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/hyundai/verna/sx-o-15-vtvt-ivt-kukatpally-2022/26573382/
"2023 Tata Tiago
6.29 Lakh
₹6.34 Lakh",6.29 Lakh,"EMI ₹10,864/m*",20K km,Petrol,Automatic,TS10,"D-Mart, Madhapur",https://www.spinny.com/buy-used-cars/hyderabad/tata/tiago/xza-plus-kukatpally-2023/28320162/
"2023 Maruti XL6
9.65 Lakh",9.65 Lakh,"EMI ₹16,569/m*",106.5K km,Cng,Manual,TS07,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/xl6/zeta-mt-cng-uppal-2023/27889562/
"2018 Toyota Corolla Altis
8.17 Lakh
₹8.25 Lakh",8.17 Lakh,"EMI ₹14,287/m*",109.5K km,Petrol,Automatic,TS09,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/toyota/corolla-altis/vl-cvt-petrol-kukatpally-2018/28630929/
"2016 Maruti Baleno
5.19 Lakh
₹5.22 Lakh",5.19 Lakh,"EMI ₹9,574/m*",27K km,Petrol,Manual,WB02,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/baleno/alpha-12-uppal-2016/26939764/
"2021 Honda City
9.50 Lakh
₹9.61 Lakh",9.50 Lakh,"EMI ₹16,433/m*",69K km,Petrol,Manual,TS08,"Phoenix Trivium, Hafeezpet",https://www.spinny.com/buy-used-cars/hyderabad/honda/city/zx-petrol-hafeezpet-2021/27700771/
"2023 Hyundai Venue
10.81 Lakh
₹10.93 Lakh",10.81 Lakh,"EMI ₹18,919/m*",20K km,Petrol,Automatic,AP39,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/hyundai/venue/sx-o-10-turbo-dct-kukatpally-2023/27682228/
"2024 Volkswagen Taigun
10.20 Lakh
₹10.36 Lakh",10.20 Lakh,"EMI ₹17,880/m*",50K km,Petrol,Manual,TS16,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/volkswagen/taigun/topline-10-tsi-mt-kukatpally-2024/26181258/
"2020 Kia Seltos
9.33 Lakh
₹9.43 Lakh",9.33 Lakh,"EMI ₹16,126/m*",97.5K km,Petrol,Manual,TS10,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/kia/seltos/gtx-plus-14-uppal-2020/26808316/
"2018 Hyundai Elite i20
6.56 Lakh
₹6.65 Lakh",6.56 Lakh,"EMI ₹11,392/m*",49K km,Diesel,Manual,WB02,"D-Mart, Madhapur",https://www.spinny.com/buy-used-cars/hyderabad/hyundai/elite-i20/asta-14-o-crdi-kukatpally-2018/27051201/
"2014 Hyundai Eon
1.89 Lakh
₹1.92 Lakh",1.89 Lakh,"EMI ₹7,095/m*",140.5K km,Petrol,Manual,AP29,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/hyundai/eon/magna-20112012-uppal-2014/28418275/
"2017 Tata Tiago
3.71 Lakh
₹3.77 Lakh",3.71 Lakh,"EMI ₹6,556/m*",125K km,Petrol,Automatic,TS08,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/tata/tiago/revotron-xza-uppal-2017/28305452/
"2024 Tata Punch
7.29 Lakh
₹7.35 Lakh",7.29 Lakh,"EMI ₹12,584/m*",23.5K km,Petrol,Manual,AP40,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/tata/punch/accomplished-plus-sunroof-2024/28585281/
