name,price,emi,kilometer,fuel,transmission,registration,location,link
"2025 BMW iX1 LWB
43.69 Lakh
₹44.25 Lakh",43.69 Lakh,"EMI ₹76,106/m*",7K km,Electric,Automatic,HR98,"Sector 29, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/bmw/ix1-lwb/edrive20l-m-sport-sector-29-2025/28231276/
"2021 Mercedes E-Class
41.26 Lakh
₹42 Lakh",41.26 Lakh,"EMI ₹72,236/m*",30.5K km,Petrol,Automatic,DL1C,"Sector 29, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/mercedes-benz/e-class/e-200-exclusive-sector-29-2021/27255403/
"2024 Honda Elevate
10.84 Lakh
₹11.04 Lakh",10.84 Lakh,"EMI ₹19,055/m*",18.5K km,Petrol,Manual,HR51,"Sector 29, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/honda/elevate/v-mt-sector-29-2024/28566752/
"2024 Tata Curvv
12.81 Lakh
₹12.99 Lakh",12.81 Lakh,"EMI ₹22,410/m*",25.5K km,Petrol,Manual,HR98,"Sector 29, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/tata/curvv/accomplished-s-12-revotron-petrol-6mt-sector-29-2024/28503198/
"2014 Honda Brio
2.45 Lakh
₹2.52 Lakh",2.45 Lakh,"EMI ₹6,570/m*",42.5K km,Petrol,Manual,DL10,"Raj Nagar Extension, Ghaziabad",https://www.spinny.com/buy-used-cars/ghaziabad/honda/brio/s-mt-raj-nagar-extension-2014/28292624/
"2019 Audi A3
15.67 Lakh
₹15.90 Lakh",15.67 Lakh,"EMI ₹27,345/m*",56K km,Petrol,Automatic,UP16,"Sector 29, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/audi/a3/35-tfsi-premium-plus-sector-29-2019/28252319/
"2015 Hyundai Elite i20
3.65 Lakh
₹3.73 Lakh",3.65 Lakh,"EMI ₹8,091/m*",69.5K km,Petrol,Manual,DL7C,"Dwarka, Delhi",https://www.spinny.com/buy-used-cars/delhi/hyundai/elite-i20/sportz-12-2015/28849820/
"2021 Maruti Ciaz
7.16 Lakh
₹7.22 Lakh",7.16 Lakh,"EMI ₹12,431/m*",86K km,Petrol,Automatic,HR29,"Sector 27, Faridabad",https://www.spinny.com/buy-used-cars/faridabad/maruti-suzuki/ciaz/alpha-15-at-sector-27-2021/28906067/
"2017 Honda City
6.04 Lakh
₹6.12 Lakh",6.04 Lakh,"EMI ₹10,490/m*",55.5K km,Petrol,Automatic,HR26,"Sohna Road, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/honda/city/zx-cvt-petrol-sohna-road-2017/28426382/
"2014 Maruti Wagon R
2.22 Lakh
₹2.26 Lakh",2.22 Lakh,"EMI ₹6,378/m*",76.5K km,Petrol,Manual,HR51,"Sohna Road, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/maruti-suzuki/wagon-r/lxi-2014/28514558/
"2025 Honda Elevate
15.06 Lakh
₹15.35 Lakh",15.06 Lakh,"EMI ₹26,463/m*",17K km,Petrol,Automatic,UP16,"Indirapuram, Ghaziabad",https://www.spinny.com/buy-used-cars/ghaziabad/honda/elevate/zx-cvt-indirapuram-2025/28973932/
"2017 Honda Jazz
3.39 Lakh
₹3.43 Lakh",3.39 Lakh,"EMI ₹5,539/m*",62.5K km,Petrol,Manual,DL1C,"Dwarka, Delhi",https://www.spinny.com/buy-used-cars/delhi/honda/jazz/s-petrol-2017/28843786/
"2022 Renault Triber
4.63 Lakh
₹4.71 Lakh",4.63 Lakh,"EMI ₹8,088/m*",36K km,Petrol,Manual,HR31,"Sector 29, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/renault/triber/rxt-2022/28767120/
"2019 Mercedes E-Class
26.56 Lakh
₹26.90 Lakh",26.56 Lakh,"EMI ₹46,264/m*",50.5K km,Petrol,Automatic,DL1C,"Sector 29, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/mercedes-benz/e-class/e-200-avantgarde-sector-29-2019/28510268/
"2018 Mercedes E-Class
25.05 Lakh
₹25.50 Lakh",25.05 Lakh,"EMI ₹43,856/m*",44.5K km,Petrol,Automatic,UP16,"Sector 29, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/mercedes-benz/e-class/e-200-avantgarde-sector-29-2018/28077342/
"2022 Honda City
8.27 Lakh
₹8.34 Lakh",8.27 Lakh,"EMI ₹14,338/m*",123.5K km,Diesel,Manual,HR51,"Sector 39, Karnal",https://www.spinny.com/buy-used-cars/karnal/honda/city/v-diesel-karnal-road-2022/27708095/
"2024 Kia Carens
16.96 Lakh
₹17.18 Lakh",16.96 Lakh,"EMI ₹29,698/m*",14K km,Diesel,Automatic,HR98,"Sector 29, Gurgaon",https://www.spinny.com/used-cars-in-delhi-ncr/s/
"2017 Maruti Dzire
3.69 Lakh
₹3.72 Lakh",3.69 Lakh,"EMI ₹6,471/m*",81.5K km,Petrol,Automatic,HR29,"Sohna Road, Gurgaon",https://www.spinny.com/used-cars-in-delhi-ncr/s/
"2021 Tata Nexon
7.14 Lakh
₹7.20 Lakh",7.14 Lakh,"EMI ₹12,397/m*",37.5K km,Petrol,Manual,DL5C,"Raj Nagar Extension, Ghaziabad",https://www.spinny.com/buy-used-cars/ghaziabad/tata/nexon/xz-plus-o-2021/28521922/
"2023 Tata Nexon
8.36 Lakh
₹8.56 Lakh",8.36 Lakh,"EMI ₹14,713/m*",50K km,Petrol,Manual,HR87,"Sohna Road, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/tata/nexon/xz-plus-s-sohna-road-2023/28180447/
"2018 Mahindra KUV100 NXT
3.12 Lakh
₹3.16 Lakh",3.12 Lakh,"EMI ₹5,517/m*",59.5K km,Petrol,Manual,DL8C,"Raj Nagar Extension, Ghaziabad",https://www.spinny.com/buy-used-cars/ghaziabad/mahindra/kuv100-nxt/k2-6-str-raj-nagar-extension-2018/28117954/
"2023 MG Hector Plus
13.15 Lakh
₹13.32 Lakh",13.15 Lakh,"EMI ₹22,972/m*",56.5K km,Petrol,Manual,HR26,"Sohna Road, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/mg-motors/hector-plus/sharp-pro-15-turbo-petrol-mt-7-str-sohna-road-2023/28358112/
"2019 Kia Seltos
8.90 Lakh
₹9.01 Lakh",8.90 Lakh,"EMI ₹15,479/m*",33K km,Petrol,Manual,DL8C,"Rohini, Delhi",https://www.spinny.com/buy-used-cars/delhi/kia/seltos/gtx-14-rohini-sector-10-2019/26873717/
"2023 Hyundai Creta
10.47 Lakh
₹10.58 Lakh",10.47 Lakh,"EMI ₹18,272/m*",51.5K km,Petrol,Manual,HR32,"Sohna Road, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/hyundai/creta/s-plus-15-petrol-knight-sohna-road-2023/28552231/
"2020 Jeep Compass
10.90 Lakh",10.90 Lakh,"EMI ₹18,745/m*",64K km,Diesel,Manual,UP32,"Sector 29, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/jeep/compass/limited-plus-diesel-sector-29-2020/23178702/
"2018 Maruti Baleno
3.54 Lakh
₹3.62 Lakh",3.54 Lakh,"EMI ₹6,232/m*",111.5K km,Petrol,Manual,DL3C,"Rajouri Garden, Delhi",https://www.spinny.com/buy-used-cars/delhi/maruti-suzuki/baleno/delta-12-rajouri-garden-2018/28576525/
"2019 Jeep Compass
8.81 Lakh
₹9 Lakh",8.81 Lakh,"EMI ₹15,326/m*",51K km,Petrol,Automatic,DL2C,"Sector 29, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/jeep/compass/limited-14-petrol-at-sector-29-2019/28875812/
"2016 Maruti Swift
3.11 Lakh
₹3.19 Lakh",3.11 Lakh,"EMI ₹5,952/m*",67.5K km,Petrol,Manual,DL6C,"Rajouri Garden, Delhi",https://www.spinny.com/buy-used-cars/delhi/maruti-suzuki/swift/lxi-o-rajouri-garden-2016/28977517/
"2018 Jeep Compass
8.46 Lakh
₹8.50 Lakh",8.46 Lakh,"EMI ₹14,475/m*",64K km,Petrol,Automatic,DL2C,"Sector 29, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/jeep/compass/limited-14-petrol-at-sector-29-2018/27760990/
"2018 Skoda Rapid
5.05 Lakh
₹5.13 Lakh",5.05 Lakh,"EMI ₹8,253/m*",74K km,Petrol,Manual,DL2C,"Rohini, Delhi",https://www.spinny.com/buy-used-cars/delhi/skoda/rapid/style-16-mpi-rohini-sector-10-2018/27670279/
"2023 Renault Kiger
5.09 Lakh
₹5.19 Lakh",5.09 Lakh,"EMI ₹8,906/m*",41K km,Petrol,Automatic,HR87,"Sector 27, Faridabad",https://www.spinny.com/buy-used-cars/faridabad/renault/kiger/rxt-o-amt-sector-27-2023/28109607/
"2014 Honda Amaze
2.55 Lakh
₹2.59 Lakh",2.55 Lakh,"EMI ₹7,197/m*",97K km,Petrol,Manual,UP16,"Raj Nagar Extension, Ghaziabad",https://www.spinny.com/buy-used-cars/ghaziabad/honda/amaze/12-s-ivtec-2014/28679223/
"2022 Renault Triber
5.14 Lakh
₹5.20 Lakh",5.14 Lakh,"EMI ₹8,923/m*",77K km,Petrol,Automatic,HR98,"Sector 27, Faridabad",https://www.spinny.com/buy-used-cars/faridabad/renault/triber/rxz-easyr-amt-2022/28827089/
"2018 Maruti Baleno
4.85 Lakh
₹4.91 Lakh",4.85 Lakh,"EMI ₹8,429/m*",50K km,Petrol,Automatic,DL2C,"Rohini, Delhi",https://www.spinny.com/buy-used-cars/delhi/maruti-suzuki/baleno/alpha-12-at-2018/28247766/
"2024 Tata Nexon
11.10 Lakh
₹11.21 Lakh",11.10 Lakh,"EMI ₹19,345/m*",44.5K km,Petrol,Automatic,HR26,"Sector 27, Faridabad",https://www.spinny.com/buy-used-cars/faridabad/tata/nexon/fearless-plus-s-12-revotron-petrol-7dca-dt-sector-27-2024/28885485/
"2021 Tata Nexon
7.65 Lakh
₹7.72 Lakh",7.65 Lakh,"EMI ₹13,282/m*",38K km,Petrol,Automatic,HR98,"Sector 29, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/tata/nexon/xza-plus-s-sector-29-2021/28696488/
"2020 Renault Triber
4.52 Lakh
₹4.58 Lakh",4.52 Lakh,"EMI ₹7,867/m*",89.5K km,Petrol,Automatic,UP14,"Raj Nagar Extension, Ghaziabad",https://www.spinny.com/buy-used-cars/ghaziabad/renault/triber/rxz-easyr-amt-raj-nagar-extension-2020/28706086/
"2022 Tata Safari
14.27 Lakh
₹14.46 Lakh",14.27 Lakh,"EMI ₹24,931/m*",47K km,Diesel,Automatic,HR26,"Sector 29, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/tata/safari/xza-plus-sector-29-2022/28417495/
"2023 Hyundai Creta
15.18 Lakh
₹15.39 Lakh",15.18 Lakh,"EMI ₹26,531/m*",67.5K km,Diesel,Automatic,UP16,"Sector 4, Greater Noida",https://www.spinny.com/used-cars-in-delhi-ncr/s/
"2022 Kia Carens
10.38 Lakh
₹10.48 Lakh",10.38 Lakh,"EMI ₹18,085/m*",26K km,Petrol,Manual,HR98,"Sector 29, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/kia/carens/prestige-plus-14-petrol-mt-7-str-sector-29-2022/28815134/
"2018 Hyundai Santro
3.40 Lakh
₹3.45 Lakh",3.40 Lakh,"EMI ₹5,943/m*",38K km,Petrol,Manual,DL10,"Rohini, Delhi",https://www.spinny.com/buy-used-cars/delhi/hyundai/santro/asta-rohini-sector-10-2018/28415150/
"2019 Kia Seltos
8.64 Lakh
₹8.79 Lakh",8.64 Lakh,"EMI ₹15,036/m*",119.5K km,Petrol,Automatic,DL2C,"Dwarka, Delhi",https://www.spinny.com/buy-used-cars/delhi/kia/seltos/gtx-plus-at-14-dwarka-sector-21-2019/28765833/
N/A,8.31 Lakh,"EMI ₹14,457/m*",78K km,Petrol,Automatic,DL8C,"Indirapuram, Ghaziabad",https://www.spinny.com/buy-used-cars/ghaziabad/kia/seltos/htx-ivt-15-indirapuram-2019/28664068/
"2020 MG Hector
10.36 Lakh
₹10.50 Lakh",10.36 Lakh,"EMI ₹18,119/m*",62K km,Petrol,Automatic,HR26,"Sector 29, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/mg-motors/hector/sharp-15-dct-petrol-2020/28464288/
"2022 Tata Tigor
5.84 Lakh
₹5.92 Lakh",5.84 Lakh,"EMI ₹10,217/m*",17K km,Cng,Manual,UP14,"Raj Nagar Extension, Ghaziabad",https://www.spinny.com/buy-used-cars/ghaziabad/tata/tigor/xz-plus-cng-2022/28978942/
"2019 MG Hector
8.80 Lakh
₹8.93 Lakh",8.80 Lakh,"EMI ₹15,343/m*",83K km,Petrol,Automatic,DL3C,"Sector 4, Greater Noida",https://www.spinny.com/buy-used-cars/noida/mg-motors/hector/sharp-15-dct-petrol-sector-4-2019/28989584/
"2022 Maruti Ignis
4.90 Lakh
₹4.97 Lakh",4.90 Lakh,"EMI ₹8,599/m*",36.5K km,Petrol,Manual,UP14,"Kaushambi, Ghaziabad",https://www.spinny.com/buy-used-cars/ghaziabad/maruti-suzuki/ignis/zeta-12-mt-2022/28835875/
"2024 Hyundai Venue
9.50 Lakh
₹9.58 Lakh",9.50 Lakh,"EMI ₹16,450/m*",12K km,Petrol,Manual,HR87,"Sector 27, Faridabad",https://www.spinny.com/buy-used-cars/faridabad/hyundai/venue/sx-12-petrol-sector-27-2024/27604439/
"2014 Honda City
3.42 Lakh
₹3.51 Lakh",3.42 Lakh,"EMI ₹9,676/m*",84K km,Petrol,Manual,UP16,"Sector 4, Greater Noida",https://www.spinny.com/buy-used-cars/noida/honda/city/sv-sector-4-2014/28726020/
"2022 Hyundai Creta
10.97 Lakh
₹11.07 Lakh",10.97 Lakh,"EMI ₹19,174/m*",42K km,Petrol,Manual,DL5C,"Rohini, Delhi",https://www.spinny.com/buy-used-cars/delhi/hyundai/creta/sx-15-petrol-rohini-sector-10-2022/28647198/
"2021 Renault Triber
5.39 Lakh
₹5.46 Lakh",5.39 Lakh,"EMI ₹9,366/m*",38.5K km,Petrol,Automatic,UP14,"Kaushambi, Ghaziabad",https://www.spinny.com/buy-used-cars/ghaziabad/renault/triber/rxz-easyr-amt-2021/28920963/
"2014 Honda City
3.63 Lakh
₹3.67 Lakh",3.63 Lakh,"EMI ₹10,108/m*",99K km,Petrol,Automatic,HR26,"Sector 27, Faridabad",https://www.spinny.com/buy-used-cars/faridabad/honda/city/sv-cvt-2014/28614497/
"2021 BMW X3
36.46 Lakh
₹37.50 Lakh",36.46 Lakh,"EMI ₹64,496/m*",69K km,Petrol,Automatic,DL1C,"Sector 29, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/bmw/x3/xdrive-30i-luxury-line-sector-29-2021/27430889/
"2017 BMW X3
20.32 Lakh
₹20.90 Lakh",20.32 Lakh,"EMI ₹35,944/m*",59K km,Petrol,Automatic,UP14,"Sector 29, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/bmw/x3/xdrive28i-xline-sector-29-2017/26396372/
"2022 Hyundai Grand i10 Nios
5.66 Lakh
₹5.73 Lakh",5.66 Lakh,"EMI ₹9,825/m*",31.5K km,Petrol,Manual,DL4C,"Rohini, Delhi",https://www.spinny.com/buy-used-cars/delhi/hyundai/grand-i10-nios/sportz-12-kappa-vtvt-rohini-sector-10-2022/28900941/
"2022 Mahindra XUV700
16.91 Lakh
₹17.13 Lakh",16.91 Lakh,"EMI ₹29,697/m*",74.5K km,Diesel,Automatic,HR26,"Sohna Road, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/mahindra/xuv700/ax-7-diesel-at-luxury-pack-7-str-sohna-road-2022/28580329/
"2023 Hyundai Creta
9.58 Lakh
₹9.75 Lakh",9.58 Lakh,"EMI ₹16,739/m*",40.5K km,Petrol,Manual,HR96,"Sector 29, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/hyundai/creta/ex-15-petrol-sector-29-2023/29002038/
"2022 Renault Triber
4.31 Lakh
₹4.37 Lakh",4.31 Lakh,"EMI ₹7,561/m*",93K km,Petrol,Manual,UP16,"Sector 4, Greater Noida",https://www.spinny.com/buy-used-cars/noida/renault/triber/rxt-sector-4-2022/27994965/
